1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
013329	sustainable design reporting	013329	sustainable design reporting	General Requirements	01 00 00
013329.01	material cost summary form	013329.01	material cost summary form	General Requirements	01 00 00
013329.02	wood-containing product list	013329.02	wood-containing product list	General Requirements	01 00 00
013329.03	metal-containing product list	013329.03	metal-containing product list	General Requirements	01 00 00
013329.04	material content form	013329.04	material content form	General Requirements	01 00 00
013329.05	new product source form	013329.05	new product source form	General Requirements	01 00 00
013329.06	reused product form	013329.06	reused product form	General Requirements	01 00 00
013329.07	prohibited content installer certification	013329.07	prohibited content installer certification	General Requirements	01 00 00
013500	special procedures	013500	special procedures	General Requirements	01 00 00
013503	conservation treatment procedures	013503	conservation treatment procedures	General Requirements	01 00 00
013513	special project procedures	013513	special project procedures	General Requirements	01 00 00
013513.13	special project procedures for airport facilities	013513.13	special project procedures for airport facilities	General Requirements	01 00 00
013513.16	special project procedures for detention facilities	013513.16	special project procedures for detention facilities	General Requirements	01 00 00
013513.19	special project procedures for healthcare facilities	013513.19	special project procedures for healthcare facilities	General Requirements	01 00 00
013513.26	special project procedures for clean rooms	013513.26	special project procedures for clean rooms	General Requirements	01 00 00
013513.43	special project procedures for contaminated sites	013513.43	special project procedures for contaminated sites	General Requirements	01 00 00
013516	alteration project procedures	013516	alteration project procedures	General Requirements	01 00 00
013523	owner safety requirements	013523	owner safety requirements	General Requirements	01 00 00
